"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","plate.order"
"19A0132","1",1,2020-03-11,1,TRUE,284
"19A0353","1",1,2020-03-11,5,TRUE,74
"19A0309","1",1,2020-03-11,6,TRUE,80
"19A0397","1",1,2020-03-11,7,TRUE,209
"19A0003","1",1,2020-03-11,8,TRUE,376
"19A0062","1",1,2020-03-11,15,TRUE,219
"19A0266","1",1,2020-03-11,16,TRUE,301
"19A0180","1",1,2020-03-11,17,TRUE,318
"19A0258","1",1,2020-03-11,19,TRUE,207
"19A0073","1",1,2020-03-11,20,TRUE,409
"19A0164","1",1,2020-03-11,21,TRUE,338
"19A0328","1",1,2020-03-11,23,TRUE,292
"19A0098","1",1,2020-03-12,2,TRUE,354
"19A0168","1",1,2020-03-12,3,TRUE,365
"19A0439","1",1,2020-03-12,7,TRUE,107
"19A0399","1",1,2020-03-12,8,TRUE,320
"19A0031","1",1,2020-03-12,9,TRUE,204
"19A0022","1",1,2020-03-12,10,TRUE,223
"19A0082","1",1,2020-03-12,11,TRUE,323
"19A0385","1",1,2020-03-12,12,TRUE,434
"19A0054","1",1,2020-03-12,14,TRUE,299
"19A0430","1",1,2020-03-12,16,TRUE,179
"19A0381","1",1,2020-03-12,17,TRUE,254
"19A0209","1",1,2020-03-12,18,TRUE,334
"19A0351","1",1,2020-03-12,19,TRUE,392
"19A0215","1",1,2020-03-12,23,TRUE,306
"19A0075","1",1,2020-03-15,1,TRUE,346
"19A0346","1",1,2020-03-15,2,TRUE,133
"19A0308","1",1,2020-03-15,3,TRUE,418
"19A0218","1",1,2020-03-15,4,TRUE,261
"19A0134","1",1,2020-03-15,6,TRUE,76
"19A0113","1",1,2020-03-15,7,TRUE,121
"19A0411","1",1,2020-03-15,8,TRUE,293
"19A0167","1",1,2020-03-15,9,TRUE,372
"19A0001","1",1,2020-03-15,10,TRUE,419
"19A0131","1",1,2020-03-15,11,TRUE,123
"19A0117","1",1,2020-03-15,13,TRUE,289
"19A0405","1",1,2020-03-15,14,TRUE,394
"19A0045","1",1,2020-03-15,15,TRUE,382
"19A0041","1",1,2020-03-15,16,TRUE,77
"19A0438","1",1,2020-03-15,17,TRUE,100
"19A0404","1",1,2020-03-15,18,TRUE,217
"19A0410","1",1,2020-03-15,19,TRUE,10
"19A0111","1",1,2020-03-15,20,TRUE,270
"19A0178","1",1,2020-03-15,22,TRUE,143
"19A0423","1",1,2020-03-15,24,TRUE,109
"19A0420","1",1,2020-06-18,3,TRUE,336
"19A0081","1",1,2020-06-18,5,TRUE,150
"19A0345","1",1,2020-06-18,6,TRUE,199
"19A0320","1",1,2020-06-18,7,TRUE,243
"19A0052","1",1,2020-06-18,9,TRUE,400
"19A0406","1",2,2020-06-18,10,TRUE,40
"19A0355","1",2,2020-06-18,11,TRUE,18
"19A0153","1",2,2020-06-18,12,TRUE,130
"19A0151","1",2,2020-06-18,13,TRUE,305
"19A0456","1",2,2020-06-18,14,TRUE,168
"19A0212","1",2,2020-06-18,15,TRUE,350
"19A0349","1",2,2020-06-18,16,TRUE,135
"19A0251","1",2,2020-06-18,17,TRUE,298
"19A0460","1",2,2020-06-18,18,TRUE,412
"19A0006","1",2,2020-06-18,19,TRUE,196
"19A0205","1",2,2020-06-18,20,TRUE,1
"19A0008","1",2,2020-06-18,21,TRUE,38
"19A0462","1",2,2020-06-18,22,TRUE,59
"19A0190","1",2,2020-06-18,23,TRUE,296
"19A0032","1",2,2020-06-18,24,TRUE,54
"19A0356","1",2,2020-06-21,1,TRUE,39
"19A0030","1",2,2020-06-21,2,TRUE,401
"19A0115","1",2,2020-06-21,3,TRUE,48
"19A0296","1",2,2020-06-21,4,TRUE,113
"19A0343","1",2,2020-06-21,5,TRUE,49
"19A0259","1",2,2020-06-21,6,TRUE,52
"19A0166","1",2,2020-06-21,7,TRUE,428
"19A0222","1",2,2020-06-21,8,TRUE,27
"19A0262","1",2,2020-06-21,9,TRUE,12
"19A0122","1",2,2020-06-21,10,TRUE,28
"19A0374","1",2,2020-06-21,12,TRUE,235
"19A0455","1",2,2020-06-21,13,TRUE,395
"19A0394","1",2,2020-06-21,14,TRUE,178
"19A0225","1",2,2020-06-21,15,TRUE,85
"19A0435","1",2,2020-06-21,16,TRUE,190
"19A0229","1",2,2020-06-21,17,TRUE,129
"19A0303","1",2,2020-06-21,18,TRUE,2
"19A0316","1",2,2020-06-21,19,TRUE,180
"19A0272","1",2,2020-06-21,20,TRUE,236
"19A0069","1",2,2020-06-21,21,TRUE,140
"19A0108","1",2,2020-06-21,22,TRUE,198
"19A0050","1",2,2020-06-21,23,TRUE,46
"19A0401","1",2,2020-06-21,24,TRUE,352
"19A0159","1",2,2020-06-22,2,TRUE,156
"19A0452","1",2,2020-06-22,3,TRUE,383
"19A0324","1",2,2020-06-22,4,TRUE,404
"19A0040","1",2,2020-06-22,5,TRUE,242
"19A0360","1",2,2020-06-22,6,TRUE,105
"19A0103","1",2,2020-06-22,7,TRUE,110
"19A0024","1",2,2020-06-22,8,TRUE,14
"19A0047","1",2,2020-06-22,9,TRUE,249
"19A0193","1",2,2020-06-22,10,TRUE,79
"19A0231","1",2,2020-06-22,11,TRUE,11
"19A0256","1",2,2020-06-22,13,TRUE,328
"19A0277","1",2,2020-06-22,14,TRUE,345
"19A0255","1",2,2020-06-22,15,TRUE,215
"19A0160","1",2,2020-06-22,16,TRUE,187
"19A0424","1",2,2020-06-22,18,TRUE,374
"19A0121","1",2,2020-06-22,19,TRUE,280
"19A0334","1",2,2020-06-22,21,TRUE,26
"19A0441","1",2,2020-06-22,22,TRUE,257
"19A0268","1",2,2020-06-22,23,TRUE,310
"19A0099","1",2,2020-06-22,24,TRUE,71
"19A0242","1",3,2020-06-24,1,TRUE,275
"19A0364","1",3,2020-06-24,2,TRUE,21
"19A0015","1",3,2020-06-24,7,TRUE,160
"19A0244","1",3,2020-06-24,8,TRUE,277
"19A0238","1",3,2020-06-24,10,TRUE,370
"19A0228","1",3,2020-06-24,11,TRUE,349
"19A0265","1",3,2020-06-24,12,TRUE,31
"19A0080","1",3,2020-06-24,13,TRUE,148
"19A0090","1",3,2020-06-24,14,TRUE,154
"19A0250","1",3,2020-06-24,15,TRUE,347
"19A0056","1",3,2020-06-24,17,TRUE,241
"19A0352","1",3,2020-06-24,18,TRUE,327
"19A0331","1",3,2020-06-24,19,TRUE,30
"19A0421","1",3,2020-06-24,20,TRUE,183
"19A0284","1",3,2020-06-24,23,TRUE,364
"19A0105","1",3,2020-06-28,1,TRUE,330
"19A0048","1",3,2020-06-28,2,TRUE,416
"19A0327","1",3,2020-06-28,3,TRUE,23
"19A0100","1",3,2020-06-28,5,TRUE,222
"19A0002","1",3,2020-06-28,6,TRUE,253
"19A0407","1",3,2020-06-28,7,TRUE,415
"19A0152","1",3,2020-06-28,8,TRUE,423
"19A0013","1",3,2020-06-28,9,TRUE,265
"19A0046","1",3,2020-06-28,10,TRUE,195
"19A0102","1",3,2020-06-28,12,TRUE,211
"19A0431","1",3,2020-06-28,13,TRUE,307
"19A0060","1",3,2020-06-28,14,TRUE,377
"19A0039","1",3,2020-06-28,15,TRUE,25
"19A0210","1",3,2020-06-28,16,TRUE,6
"19A0130","1",3,2020-06-28,17,TRUE,426
"19A0071","1",3,2020-06-28,18,TRUE,381
"19A0009","1",3,2020-06-28,20,TRUE,161
"19A0400","1",3,2020-06-28,21,TRUE,69
"19A0195","1",3,2020-06-28,22,TRUE,86
"19A0318","1",3,2020-06-28,24,TRUE,64
"19A0247","1",3,2020-06-29,1,TRUE,124
"19A0192","1",3,2020-06-29,2,TRUE,13
"19A0219","1",3,2020-06-29,3,TRUE,47
"19A0149","1",3,2020-06-29,4,TRUE,159
"19A0412","1",3,2020-06-29,6,TRUE,311
"19A0154","1",3,2020-06-29,7,TRUE,151
"19A0176","1",3,2020-06-29,9,TRUE,184
"19A0183","1",3,2020-06-29,10,TRUE,220
"19A0078","1",3,2020-06-29,11,TRUE,20
"19A0007","1",3,2020-06-29,12,TRUE,144
"19A0448","1",3,2020-06-29,13,TRUE,43
"19A0203","1",3,2020-06-29,14,TRUE,68
"19A0156","1",3,2020-06-29,15,TRUE,358
"19A0378","1",3,2020-06-29,16,TRUE,125
"19A0191","1",3,2020-06-29,17,TRUE,279
"19A0083","1",3,2020-06-29,18,TRUE,267
"19A0301","1",3,2020-06-29,19,TRUE,17
"19A0074","1",3,2020-06-29,20,TRUE,185
"19A0055","1",3,2020-06-29,21,TRUE,174
"19A0302","1",3,2020-06-29,22,TRUE,136
"19A0033","1",3,2020-06-29,23,TRUE,256
"19A0175","1",3,2020-06-29,24,TRUE,324
"19A0332","1",3,2020-06-30,2,TRUE,333
"19A0417","1",3,2020-06-30,3,TRUE,435
"19A0143","1",4,2020-06-30,4,TRUE,239
"19A0016","1",4,2020-06-30,5,TRUE,314
"19A0458","1",4,2020-06-30,6,TRUE,57
"19A0347","1",4,2020-06-30,7,TRUE,322
"19A0267","1",4,2020-06-30,8,TRUE,115
"19A0021","1",4,2020-06-30,9,TRUE,263
"19A0067","1",4,2020-06-30,10,TRUE,308
"19A0314","1",4,2020-06-30,11,TRUE,343
"19A0207","1",4,2020-06-30,12,TRUE,35
"19A0066","1",4,2020-06-30,13,TRUE,335
"19A0286","1",4,2020-06-30,14,TRUE,189
"19A0393","1",4,2020-06-30,15,TRUE,181
"19A0433","1",4,2020-06-30,16,TRUE,95
"19A0390","1",4,2020-06-30,18,TRUE,153
"19A0217","1",4,2020-06-30,19,TRUE,396
"19A0261","1",4,2020-06-30,20,TRUE,53
"19A0065","1",4,2020-06-30,21,TRUE,287
"19A0294","1",4,2020-06-30,22,TRUE,58
"19A0391","1",4,2020-06-30,23,TRUE,380
"19A0142","1",4,2020-06-30,24,TRUE,286
"19A0101","1",4,2020-07-01,2,TRUE,272
"19A0028","1",4,2020-07-01,3,TRUE,208
"19A0313","1",4,2020-07-01,4,TRUE,176
"19A0453","1",4,2020-07-01,5,TRUE,295
"19A0004","1",4,2020-07-01,6,TRUE,393
"19A0137","1",4,2020-07-01,7,TRUE,355
"19A0012","2",4,2020-07-01,8,TRUE,188
"19A0451","1",4,2020-07-01,9,TRUE,424
"19A0224","1",4,2020-07-01,10,TRUE,33
"19A0187","1",4,2020-07-01,11,TRUE,371
"19A0386","1",4,2020-07-01,12,TRUE,304
"19A0086","1",4,2020-07-01,13,TRUE,93
"19A0214","1",4,2020-07-01,14,TRUE,397
"19A0020","1",4,2020-07-01,15,TRUE,122
"19A0299","1",4,2020-07-01,16,TRUE,169
"19A0236","1",4,2020-07-01,17,TRUE,45
"19A0454","1",4,2020-07-01,18,TRUE,182
"19A0112","1",4,2020-07-01,19,TRUE,32
"19A0091","1",4,2020-07-01,20,TRUE,141
"19A0148","1",4,2020-07-01,22,TRUE,7
"19A0379","1",4,2020-07-01,23,TRUE,88
"19A0289","1",4,2020-07-01,24,TRUE,44
"19A0380","1",4,2020-07-02,1,TRUE,316
"19A0237","1",4,2020-07-02,2,TRUE,332
"19A0146","1",4,2020-07-02,3,TRUE,19
"19A0026","1",4,2020-07-02,4,TRUE,221
"19A0027","1",4,2020-07-02,5,TRUE,212
"19A0089","1",4,2020-07-02,6,TRUE,234
"19A0414","1",4,2020-07-02,7,TRUE,232
"19A0084","1",4,2020-07-02,8,TRUE,266
"19A0011","1",4,2020-07-02,9,TRUE,417
"19A0138","1",4,2020-07-02,10,TRUE,167
"19A0263","1",4,2020-07-02,11,TRUE,429
"19A0323","1",4,2020-07-02,12,TRUE,250
"19A0300","1",4,2020-07-02,13,TRUE,117
"19A0416","1",4,2020-07-02,14,TRUE,436
"19A0245","1",4,2020-07-02,15,TRUE,369
"19A0096","2",4,2020-07-02,16,TRUE,315
"19A0248","1",4,2020-07-02,17,TRUE,325
"19A0387","1",4,2020-07-02,18,TRUE,162
"19A0070","1",4,2020-07-02,19,TRUE,96
"19A0377","1",4,2020-07-02,20,TRUE,432
"19A0243","1",4,2020-07-02,21,TRUE,41
"19A0174","1",4,2020-07-02,22,TRUE,341
"19A0292","1",4,2020-07-02,24,TRUE,326
"19A0094","1",4,2020-07-05,2,TRUE,142
"19A0128","1",4,2020-07-05,3,TRUE,321
"19A0206","1",4,2020-07-05,5,TRUE,260
"19A0384","1",4,2020-07-05,6,TRUE,50
"19A0298","1",4,2020-07-05,7,TRUE,177
"19A0019","1",4,2020-07-05,8,TRUE,373
"19A0376","1",4,2020-07-05,9,TRUE,137
"19A0162","1",4,2020-07-05,10,TRUE,132
"19A0226","1",4,2020-07-05,12,TRUE,218
"19A0034","1",5,2020-07-05,13,TRUE,339
"19A0329","1",5,2020-07-05,14,TRUE,297
"19A0388","1",5,2020-07-05,15,TRUE,273
"19A0150","1",5,2020-07-05,16,TRUE,309
"19A0018","1",5,2020-07-05,17,TRUE,139
"19A0223","1",5,2020-07-05,18,TRUE,87
"19A0335","1",5,2020-07-05,19,TRUE,173
"19A0064","1",5,2020-07-05,20,TRUE,430
"19A0418","1",5,2020-07-05,21,TRUE,175
"19A0319","1",5,2020-07-05,22,TRUE,361
"19A0036","1",5,2020-07-05,23,TRUE,278
"19A0023","1",5,2020-07-05,24,TRUE,225
"19A0280","1",5,2020-07-06,2,TRUE,24
"19A0270","1",5,2020-07-06,3,TRUE,348
"19A0461","1",5,2020-07-06,4,TRUE,294
"19A0373","1",5,2020-07-06,5,TRUE,389
"19A0124","1",5,2020-07-06,6,TRUE,264
"19A0375","1",5,2020-07-06,7,TRUE,378
"19A0340","1",5,2020-07-06,8,TRUE,331
"19A0135","1",5,2020-07-06,9,TRUE,438
"19A0145","1",5,2020-07-06,10,TRUE,391
"19A0213","1",5,2020-07-06,11,TRUE,22
"19A0129","1",5,2020-07-06,12,TRUE,258
"19A0161","1",5,2020-07-06,13,TRUE,201
"19A0337","1",5,2020-07-06,14,TRUE,60
"19A0341","1",5,2020-07-06,15,TRUE,224
"19A0079","1",5,2020-07-06,17,TRUE,94
"19A0357","1",5,2020-07-06,18,TRUE,163
"19A0059","1",5,2020-07-06,19,TRUE,103
"19A0252","1",5,2020-07-06,20,TRUE,112
"19A0317","1",5,2020-07-06,21,TRUE,408
"19A0043","1",5,2020-07-06,22,TRUE,405
"19A0306","1",5,2020-07-06,23,TRUE,92
"19A0442","1",5,2020-07-06,24,TRUE,216
"19A0409","1",5,2020-07-07,1,TRUE,237
"19A0367","1",5,2020-07-07,2,TRUE,108
"19A0443","1",5,2020-07-07,3,TRUE,228
"19A0171","1",5,2020-07-07,4,TRUE,51
"19A0140","1",5,2020-07-07,5,TRUE,375
"19A0325","1",5,2020-07-07,6,TRUE,91
"19A0389","1",5,2020-07-07,7,TRUE,202
"19A0017","1",5,2020-07-07,8,TRUE,388
"19A0447","1",5,2020-07-07,9,TRUE,116
"19A0427","1",5,2020-07-07,10,TRUE,194
"19A0097","1",5,2020-07-07,11,TRUE,433
"19A0202","1",5,2020-07-07,12,TRUE,3
"19A0434","1",5,2020-07-07,13,TRUE,227
"19A0398","1",5,2020-07-07,14,TRUE,73
"19A0361","1",5,2020-07-07,15,TRUE,203
"19A0450","1",5,2020-07-07,16,TRUE,37
"19A0440","1",5,2020-07-07,17,TRUE,65
"19A0315","1",5,2020-07-07,18,TRUE,192
"19A0172","1",5,2020-07-07,19,TRUE,82
"19A0088","1",5,2020-07-07,20,TRUE,166
"19A0275","1",5,2020-07-07,21,TRUE,437
"19A0253","1",5,2020-07-07,22,TRUE,193
"19A0058","1",5,2020-07-07,23,TRUE,214
"19A0139","1",5,2020-07-07,24,TRUE,104
"19A0147","1",5,2020-07-08,1,TRUE,145
"19A0234","1",5,2020-07-08,2,TRUE,303
"19A0196","1",5,2020-07-08,3,TRUE,197
"19A0290","1",5,2020-07-08,4,TRUE,245
"19A0051","1",5,2020-07-08,5,TRUE,244
"19A0235","1",5,2020-07-08,6,TRUE,340
"19A0395","1",5,2020-07-08,7,TRUE,114
"19A0216","1",5,2020-07-08,9,TRUE,248
"19A0144","1",5,2020-07-08,10,TRUE,288
"19A0419","1",5,2020-07-08,11,TRUE,83
"19A0109","1",5,2020-07-08,12,TRUE,152
"19A0173","1",5,2020-07-08,13,TRUE,155
"19A0188","1",5,2020-07-08,14,TRUE,387
"19A0170","1",5,2020-07-08,15,TRUE,329
"19A0185","1",5,2020-07-08,16,TRUE,90
"19A0311","1",5,2020-07-08,17,TRUE,281
"19A0186","1",5,2020-07-08,18,TRUE,312
"19A0338","1",5,2020-07-08,21,TRUE,414
"19A0307","1",6,2020-07-08,22,TRUE,420
"19A0227","1",6,2020-07-08,23,TRUE,118
"19A0403","1",6,2020-07-08,24,TRUE,111
"19A0155","1",6,2020-07-09,1,TRUE,406
"19A0445","1",6,2020-07-09,2,TRUE,359
"19A0125","1",6,2020-07-09,3,TRUE,290
"19A0029","1",6,2020-07-09,4,TRUE,276
"19A0037","1",6,2020-07-09,5,TRUE,84
"19A0201","1",6,2020-07-09,6,TRUE,230
"19A0169","1",6,2020-07-09,7,TRUE,170
"19A0415","1",6,2020-07-09,8,TRUE,240
"19A0437","1",6,2020-07-09,9,TRUE,229
"19A0230","1",6,2020-07-09,10,TRUE,172
"19A0366","1",6,2020-07-09,11,TRUE,5
"19A0339","1",6,2020-07-09,12,TRUE,360
"19A0126","1",6,2020-07-09,13,TRUE,131
"19A0359","1",6,2020-07-09,14,TRUE,16
"19A0005","1",6,2020-07-09,15,TRUE,271
"19A0038","1",6,2020-07-09,16,TRUE,403
"19A0358","1",6,2020-07-09,17,TRUE,171
"19A0232","1",6,2020-07-09,18,TRUE,55
"19A0371","1",6,2020-07-09,20,TRUE,268
"19A0049","1",6,2020-07-09,21,TRUE,119
"19A0106","1",6,2020-07-09,22,TRUE,262
"19A0208","1",6,2020-07-09,23,TRUE,413
"19A0402","1",6,2020-07-09,24,TRUE,379
"19A0293","1",6,2020-07-16,1,TRUE,255
"19A0354","1",6,2020-07-16,2,TRUE,213
"19A0305","1",6,2020-07-16,3,TRUE,66
"19A0179","1",6,2020-07-16,4,TRUE,70
"19A0044","1",6,2020-07-16,5,TRUE,247
"19A0241","1",6,2020-07-16,6,TRUE,362
"19A0087","1",6,2020-07-16,7,TRUE,285
"19A0449","1",6,2020-07-16,8,TRUE,63
"19A0157","1",6,2020-07-16,9,TRUE,283
"19A0429","1",6,2020-07-16,10,TRUE,427
"19A0370","1",6,2020-07-16,11,TRUE,101
"19A0123","2",6,2020-07-16,12,TRUE,134
"19A0260","2",6,2020-07-16,13,TRUE,402
"19A0211","2",6,2020-07-16,14,TRUE,149
"19A0426","2",6,2020-07-16,15,TRUE,246
"19A0133","2",6,2020-07-16,16,TRUE,9
"19A0425","2",6,2020-07-16,17,TRUE,42
"19A0110","2",6,2020-07-16,18,TRUE,34
"19A0436","2",6,2020-07-16,19,TRUE,410
"19A0182","2",6,2020-07-16,20,TRUE,165
"19A0249","2",6,2020-07-16,21,TRUE,146
"19A0010","2",6,2020-07-16,22,TRUE,36
"19A0025","2",6,2020-07-16,23,TRUE,226
"19A0396","2",6,2020-07-16,24,TRUE,421
"19A0221","2",6,2020-07-19,1,TRUE,233
"19A0344","2",6,2020-07-19,2,TRUE,191
"19A0428","2",6,2020-07-19,3,FALSE,97
"19A0336","2",6,2020-07-19,4,TRUE,269
"19A0199","2",6,2020-07-19,5,FALSE,317
"19A0198","2",6,2020-07-19,6,TRUE,89
"19A0042","2",6,2020-07-19,7,TRUE,75
"19A0120","2",6,2020-07-19,9,TRUE,425
"19A0422","2",6,2020-07-19,10,TRUE,29
"19A0444","2",6,2020-07-19,11,TRUE,200
"19A0312","2",6,2020-07-19,12,TRUE,99
"19A0382","2",6,2020-07-19,13,TRUE,15
"19A0342","2",6,2020-07-19,14,TRUE,300
"19A0220","2",6,2020-07-19,15,TRUE,62
"19A0118","2",6,2020-07-19,16,TRUE,120
"19A0326","2",6,2020-07-19,17,TRUE,78
"19A0163","2",6,2020-07-19,18,TRUE,313
"19A0285","2",6,2020-07-19,19,TRUE,398
"19A0092","2",6,2020-07-19,20,TRUE,357
"19A0372","2",6,2020-07-19,21,TRUE,367
"19A0282","2",6,2020-07-19,22,TRUE,411
"19A0333","2",6,2020-07-19,23,TRUE,98
"19A0240","2",6,2020-07-19,24,TRUE,4
"19A0278","2",6,2020-07-20,1,FALSE,356
"19A0200","2",6,2020-07-20,2,TRUE,282
"19A0288","2",6,2020-07-20,3,FALSE,302
"19A0348","2",6,2020-07-20,4,TRUE,147
"19A0291","2",6,2020-07-20,5,TRUE,407
"19A0264","2",6,2020-07-20,6,TRUE,399
"19A0035","2",7,2020-07-20,7,TRUE,67
"19A0246","2",7,2020-07-20,8,TRUE,56
"19A0093","2",7,2020-07-20,9,TRUE,157
"19A0365","2",7,2020-07-20,10,FALSE,106
"19A0077","2",7,2020-07-20,11,TRUE,186
"19A0181","2",7,2020-07-20,12,TRUE,319
"19A0271","2",7,2020-07-20,13,TRUE,81
"19A0362","2",7,2020-07-20,14,TRUE,384
"19A0184","2",7,2020-07-20,16,TRUE,205
"19A0281","2",7,2020-07-20,17,TRUE,342
"19A0459","2",7,2020-07-20,18,TRUE,422
"19A0053","2",7,2020-07-20,19,TRUE,126
"19A0076","2",7,2020-07-20,20,TRUE,164
"19A0369","2",7,2020-07-20,21,TRUE,8
"19A0194","2",7,2020-07-20,22,TRUE,61
"19A0158","2",7,2020-07-20,23,TRUE,344
"19A0457","2",7,2020-07-20,24,TRUE,72
"19A0297","2",7,2020-07-21,1,TRUE,259
"19A0239","2",7,2020-07-21,2,TRUE,366
"19A0119","2",7,2020-07-21,3,TRUE,291
"19A0233","2",7,2020-07-21,4,TRUE,363
"19A0072","2",7,2020-07-21,5,TRUE,138
"19A0257","2",7,2020-07-21,6,FALSE,252
"19A0322","2",7,2020-07-21,7,TRUE,386
"19A0273","2",7,2020-07-21,8,TRUE,102
"19A0197","2",7,2020-07-21,9,TRUE,385
"19A0295","2",7,2020-07-21,10,TRUE,158
"19A0310","2",7,2020-07-21,11,TRUE,238
"19A0383","2",7,2020-07-21,12,TRUE,390
"19A0413","2",7,2020-07-21,13,TRUE,351
"19A0392","2",7,2020-07-21,14,TRUE,128
"19A0304","2",7,2020-07-21,15,TRUE,274
"19A0114","2",7,2020-07-21,16,TRUE,251
"19A0274","2",7,2020-07-21,17,TRUE,210
"19A0363","2",7,2020-07-21,18,TRUE,431
"19A0432","2",7,2020-07-21,19,TRUE,337
"19A0107","2",7,2020-07-21,20,TRUE,231
"19A0287","2",7,2020-07-21,21,TRUE,127
"19A0350","2",7,2020-07-21,22,TRUE,206
"19A0095","2",7,2020-07-21,23,TRUE,353
"19A0177","2",7,2020-07-21,24,TRUE,368
